Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
-6,-1,-4,0,0
-6,-1,-8,0,0
1,0,-5,0,0
-4,-1,-2,0,0
-8,-1,-12,0,0
-5,-1,5,5,0
-4,-1,-6,0,0
-4,-1,-1,0,0
-5,-1,-10,0,0
-11,-1,11,11,0
-7,-1,-8,0,0
40,2,41,41,1
0,0,8,8,0
-5,-1,-18,0,0
-5,-1,-1,0,0
-4,-1,-10,0,0
-9,-1,-12,0,0
-7,-1,-5,0,0
21,1,29,29,1
-7,-1,-2,0,0
-11,-1,-2,0,0
-3,-1,-4,0,0
16,1,22,22,1
1,0,0,0,0
0,0,-3,0,0
-3,-1,-16,0,0
44,2,21,21,1
-6,-1,7,7,0
-2,-1,-8,0,0
-7,-1,0,0,0
-3,-1,0,0,0
1,0,10,10,0
-5,-1,14,14,0
-7,-1,-28,0,0
1,0,-6,0,0
6,0,12,12,0
-1,-1,-5,0,0
0,0,9,9,0
1,0,-1,0,0
-3,-1,6,6,0
-6,-1,-2,0,0
-2,-1,-25,0,0
2,0,-31,0,0
29,1,-6,0,0
-8,-1,6,6,0
-8,-1,-17,0,0
4,0,-4,0,0
-4,-1,-16,0,0
-6,-1,-8,0,0
43,2,35,35,1
-3,-1,-15,0,0
-3,-1,-21,0,0
-1,-1,2,2,0
40,2,39,39,1
-3,-1,-1,0,0
6,0,16,16,1
-3,-1,3,3,0
-8,-1,-2,0,0
-3,-1,8,8,0
-6,-1,19,19,1
-6,-1,-4,0,0
10,0,39,39,1
-2,-1,21,21,1
-5,-1,18,18,1
-7,-1,-4,0,0
13,0,-12,0,0
-3,-1,16,16,1
-4,-1,12,12,0
3,0,46,46,1
0,0,22,22,1
-9,-1,-11,0,0
-7,-1,4,4,0
-4,-1,19,19,1
1,0,23,23,1
7,0,34,34,1
16,1,28,28,1
-4,-1,27,27,1
-4,-1,46,46,1
-3,-1,-17,0,0
0,0,-7,0,0
-2,-1,-7,0,0
-3,-1,-29,0,0
4,0,-3,0,0
-2,-1,-16,0,0
9,0,14,14,0
-3,-1,-8,0,0
-5,-1,-21,0,0
-4,-1,-17,0,0
-8,-1,-37,0,0
44,2,30,30,1
-2,-1,-12,0,0
-3,-1,0,0,0
-3,-1,-29,0,0
-4,-1,-31,0,0
-3,-1,-30,0,0
-4,-1,-27,0,0
-6,-1,-22,0,0
-4,-1,-23,0,0
2,0,-9,0,0
16,1,13,13,0
-5,-1,1,1,0
23,1,1,1,0
9,0,-6,0,0
21,1,9,9,0
4,0,-6,0,0
-2,-1,4,4,0
37,2,24,24,1
-7,-1,-29,0,0
17,1,-5,0,0
-1,-1,11,11,0
11,0,12,12,0
-3,-1,32,32,1
-4,-1,4,4,0
26,1,45,45,1
0,0,4,4,0
7,0,4,4,0
-3,-1,19,19,1
2,0,51,51,1
-2,-1,-2,0,0
-1,-1,24,24,1
-5,-1,3,3,0
20,1,28,28,1
-2,-1,-11,0,0
6,0,11,11,0
-1,-1,9,9,0
1,0,13,13,0
-7,-1,-12,0,0
0,0,0,0,0
31,2,13,13,0
23,1,2,2,0
4,0,-1,0,0
-2,-1,-4,0,0
-3,-1,-17,0,0
